rerank_margin,rerank_guard,rerank_guard_label,original_minADE,original_minFDE,original_minMR,reranked_minADE,reranked_minFDE,reranked_minMR,rerank_top1_change_rate,case_count,case_original_mr,case_reranked_mr,case_mean_fde_delta,case_hit_to_miss_count,case_miss_to_hit_count,case_still_miss_improved_count,case_still_miss_worsened_count,case_still_miss_unchanged_count,case_still_hit_improved_count,case_still_hit_worsened_count,case_still_hit_unchanged_count
0.0,0.0,0.000,1.3110066652297974,2.886141538619995,0.44921875,1.2803281545639038,2.83486008644104,0.462890625,0.21875,512,0.44921875,0.462890625,-0.05128118023276329,18,11,34,21,164,9,19,236
0.15,0.0,0.000,1.311006784439087,2.886141538619995,0.44921875,1.2992486953735352,2.8559787273406982,0.447265625,0.00390625,512,0.44921875,0.447265625,-0.030162572860717773,0,1,1,0,228,0,0,282
